,RAJ2000,DEJ2000,Vmag,Per,logP,M,dist
91,210.85362,54.352375,24.160999999999998,19.63,1.2929202996000062,-4.964130561609103,6683841.035181441
92,210.86022000000003,54.345515,24.809,21.83,1.3390537357091392,-5.099059326562618,9585435.855934389
93,210.85614,54.353129,24.184,16.03,1.2049335223541449,-4.706791239258608,6000096.674372943
94,210.85447,54.341283,24.901,11.4,1.0569048513364727,-4.273844391101106,6838626.395552228
95,210.85965,54.357614,24.645,14.59,1.1640552918934517,-4.587232636762608,7021768.826590456
96,210.84567,54.347274,25.168000000000003,17.26,1.2370407913791908,-4.800696972734248,9856878.301509777
97,210.87085,54.357537,24.444000000000003,19.63,1.2929202996000062,-4.964130561609103,7614232.122923582
98,210.84821,54.354723,25.031,12.13,1.083860800866573,-4.35268380314147,7528990.698939747
99,210.85252000000003,54.342074,25.052,12.13,1.083860800866573,-4.35268380314147,7602155.708237764
100,210.86979,54.357825,24.480999999999998,13.55,1.1319392952104246,-4.4933013770697245,6235341.949553853
101,210.86055,54.344549,24.838,14.59,1.1640552918934517,-4.587232636762608,7674437.036486388
102,210.87157,54.360094,25.449,8.45,0.9268567089496924,-3.893486093157777,7387495.317771426
103,210.86061,54.357271,25.709,13.55,1.1319392952104246,-4.4933013770697245,10976408.853045858
104,210.86996,54.35631600000001,25.354,11.32,1.0538464268522527,-4.264899264243804,8390345.657490037
105,210.86983,54.3567,25.633000000000003,7.13,0.8530895298518655,-3.677735539779767,7280263.6611762615
106,210.8661,54.35433100000001,25.305999999999997,10.76,1.0318122713303703,-4.200454868982887,7966929.494878403
107,210.84173,54.34152099999999,25.209,7.18,0.8561244442423004,-3.6866119054914455,6013431.678407246
108,210.85335,54.336876,25.607,7.85,0.8948696567452525,-3.7999319638221944,7610030.419312888
109,210.84673,54.340282,25.928,5.83,0.7656685547590141,-3.422051047247998,7413276.68320652
110,210.85025,54.342192,25.642,8.45,0.9268567089496924,-3.893486093157777,8074157.534050276
111,210.74297,54.35045,23.795,27.99,1.4470028984661625,-5.414783634938764,6949550.689597289
112,210.74692,54.35416899999999,24.326999999999998,15.81,1.1989318699322091,-4.689237906637635,6356932.227074824
113,210.74477,54.351441,24.58,18.66,1.2709116394104811,-4.899760733820223,7869590.729290008
114,210.74822000000003,54.35182,24.241,16.6,1.2201080880400552,-4.751173049489747,6286871.879039297
115,210.7474,54.354471,25.205,8.91,0.9498777040368748,-3.9608167473879643,6810254.619591407
116,210.74657,54.355659,25.048000000000002,9.33,0.9698816437465,-4.019323269053493,6508256.3954243185
117,210.74547,54.348229,25.081,7.33,0.8651039746411279,-3.7128747865764398,5738190.436433154
118,210.74612,54.354864,24.988000000000003,5.92,0.7723217067229198,-3.441509853121774,4851789.72728536
119,210.73551,54.313591,24.051,23.93,1.3789426986134374,-5.215724568822516,7134193.980946436
120,210.7342,54.310951,24.738000000000003,15.52,1.1908917169221696,-4.665722469523529,7598790.899019994
121,210.72386,54.32981,24.519000000000002,16.6,1.2201080880400552,-4.751173049489747,7145532.6815359285
